Address,Suburb,Landsize
190 Southern Rd,Heidelberg West,590
159 Park St,Abbotsford,99
24 Kerferd Pl,Albert Park,109
6 Brooke St,Albert Park,78
9 Durham St,Albert Park,81
3/19 Harker St,Alphington,88
5/35 Grieve Pde,Altona,65
4/57 Blyth St,Altona,69
1/57 Blyth St,Altona,69
5/57 Blyth St,Altona,69
3/66 Marion St,Altona North,77
4/24 Mulgrave St,Ashwood,71
2/25 Birdwood St,Bentleigh East,76
2/12 Blenheim St,Bentleigh East,83
7/12 Oxford St,Box Hill,29
3/78 William St,Brighton,90
3/198 Church St,Brighton,70
3/127 Dendy St,Brighton East,74
7/117 Albion St,Brunswick,72
2/12 Jones St,Brunswick,82
77 Brickworks Dr,Brunswick,99
6/524 Moreland Rd,Brunswick West,73
4/38 Melville Rd,Brunswick West,68
3/573 Riversdale Rd,Camberwell,93
2/564 Riversdale Rd,Camberwell,84
1/3 Crescent Rd,Camberwell,83
4/26 Cornell St,Camberwell,94
119 Curtain St,Carlton North,92
75 Fenwick St,Carlton North,164
2/31 Moonya Rd,Carnegie,73
8/54 Moonya Rd,Carnegie,60
4/62 Moonya Rd,Carnegie,77
5/33 Gnarwyn Rd,Carnegie,98
4/21 Gardenvale Rd,Caulfield South,88
18 Barries Pl,Clifton Hill,66
13 Carron St,Coburg,97
3/20 Loch St,Coburg,75
1/51 The Grove,Coburg,84
1/60 Budd St,Collingwood,81
2/60 Budd St,Collingwood,81
2/20 Wetherby Rd,Doncaster,64
4/20 Wetherby Rd,Doncaster,67
1/16 Cape St,Eaglemont,79
1/20 College St,Elsternwick,98
2/509 St Kilda St,Elwood,75
4/8 Keam St,Essendon North,87
2/152 Gillies St,Fairfield,66
199 Moor St,Fitzroy,88
190 Gore St,Fitzroy,94
11 Henry St,Fitzroy,67
3 Curtain Pl,Fitzroy North,77
3/8 Eleanor St,Footscray,82
9/6 Rosamond Rd,Footscray,65
8/33 Gordon St,Footscray,58
10 Bardolph St,Glen Iris,83
3/46 Fewster Rd,Hampton,90
9/4 Lisson Gr,Hawthorn,70
1B Hepburn St,Hawthorn,87
15/459 Waterdale Rd,Heidelberg West,89
3/3 Merton St,Ivanhoe,115
4/13 Ivanhoe Pde,Ivanhoe,94
3/16 Elphin St,Ivanhoe,55
2 Hilltop Ct,Keilor East,54
1 Scarborough Pl,Kensington,78
33 Rourke La,Kensington,81
38 Rourke La,Kensington,94
25 Rogan La,Kensington,61
5 Rogan La,Kensington,96
61 Willis St,Kensington,84
4/34 Dean St,Kew,89
2/82 Brunel St,Malvern East,92
68A Emo Rd,Malvern East,86
3/915 Dandenong Rd,Malvern East,49
18 Blair St,Maribyrnong,77
44 Blair St,Maribyrnong,53
3/26 Middle Rd,Maribyrnong,99
20/9 Fabian Ct,Maribyrnong,83
19/9 Fabian Ct,Maribyrnong,83
60 Hayward La,Melbourne,95
50 Park Rd,Middle Park,149
1/132 Pascoe Vale Rd,Moonee Ponds,66
8 Haines St,North Melbourne,75
70 Munster Tce,North Melbourne,87
16 Scotia St,North Melbourne,97
15A Lothian St,North Melbourne,67
15 Mary St,North Melbourne,63
1/75 Gadd St,Northcote,55
199 Park Dr,Parkville,70
