Address,Suburb,CouncilArea
60 Cummins Rd,Brighton East,Bayside
375 South Rd,Brighton East,Bayside
3 Besant St,Hampton East,Bayside
28 Guildford Rd,Surrey Hills,Boroondara
7 Roberts Ct,Brighton East,Bayside
39 Moore St,Footscray,Maribyrnong
5 Ballarat Rd,Maidstone,Maribyrnong
15 Alberta St,West Footscray,Maribyrnong
38 Whalley St,Northcote,Darebin
20 Butler St,Essendon,Moonee Valley
48 Crevelli St,Reservoir,Darebin
1/44 Arthur St,Eltham,Nillumbik
19 Charles St,Northcote,Darebin
1 Alma St,Aberfeldie,Moonee Valley
40 Ridley St,Albion,Brimbank
22 Harker St,Alphington,Darebin
86 Grieve Pde,Altona,Hobsons Bay
96 Linden St,Altona Meadows,Hobsons Bay
95 Marion St,Altona North,Hobsons Bay
121 Kooyong Rd,Armadale,Stonnington
2/26 Mercer Rd,Armadale,Stonnington
132 The Parade,Ascot Vale,Moonee Valley
16/109 Hotham St,Balaclava,Port Phillip
2 Carrington St,Balwyn North,Boroondara
65 Longview Rd,Balwyn North,Boroondara
17 Vicars St,Balwyn North,Boroondara
14 Wanbrow Av,Balwyn North,Boroondara
3 Grieve St,Bayswater,Knox
16 Clifton St,Bentleigh East,Glen Eira
15 Huntingdon Rd,Bentleigh East,Glen Eira
45 Tambet St,Bentleigh East,Glen Eira
18 Viewgrand Dr,Berwick,Casey
20 Iona St,Black Rock,Bayside
12 Katrina St,Blackburn North,Whitehorse
15 Merle St,Blackburn North,Whitehorse
78 Shafer Rd,Blackburn North,Whitehorse
20 Graham Pl,Box Hill,Whitehorse
6 Parkside Av,Box Hill,Whitehorse
3/25 Williams Rd,Briar Hill,Banyule
139 Cole St,Brighton,Bayside
9 Berkeley Gr,Brighton East,Bayside
1/9 Binnie St,Brighton East,Bayside
9 Dunoon Ct,Brighton East,Bayside
12 Hughes St,Brighton East,Bayside
23 Bicknell Ct,Broadmeadows,Hume
57 Edward St,Brunswick,Moreland
39 Wilkinson St,Brunswick,Moreland
18 Ethel St,Brunswick East,Moreland
30 Glenn Cr,Bundoora,Whittlesea
22 Moreton Cr,Bundoora,Banyule
1188 Plenty Rd,Bundoora,Banyule
22 Paringa Wy,Burnside,Melton
2 Howitt Pl,Burwood East,Whitehorse
78 Bowen St,Camberwell,Boroondara
3/25 Thomas St,Camberwell,Boroondara
521 Canning St,Carlton North,Yarra
24 Clifton St,Caulfield East,Glen Eira
4 Warren Rd,Cheltenham,Kingston
2/21 Oakes Av,Clayton South,Kingston
34 Fenwick St,Clifton Hill,Yarra
18 Davis St,Coburg,Moreland
38 Gordon St,Coburg,Moreland
87 Phillips St,Coburg,Moreland
60 Woiwurung Cr,Coburg,Moreland
5 Gould St,Coburg North,Moreland
3 Thorpdale Av,Coolaroo,Hume
30 Gateshead St,Craigieburn,Hume
34 Ruskin Av,Croydon,Maroondah
46 Vinter Av,Croydon,Maroondah
4 Merrill Cr,Croydon Hills,Maroondah
5 Tavistock Ct,Croydon Hills,Maroondah
4 Selby Ct,Croydon North,Maroondah
8 Echuca St,Dallas,Hume
18 Bulong St,Dandenong,Greater Dandenong
19 Ross St,Dandenong,Greater Dandenong
39 Galloway St,Dandenong North,Greater Dandenong
17 Wentworth Cl,Diamond Creek,Nillumbik
13 Wheatland Cr,Dingley Village,Kingston
7 Ambrose St,Doncaster,Manningham
13 Winbrook Ct,Doncaster,Manningham
11 Avocet St,Doncaster East,Manningham
69 Bowen Rd,Doncaster East,Manningham
50A Cassowary St,Doncaster East,Manningham
28 Highfield Rd,Doncaster East,Manningham
8 Rosamond Cr,Doncaster East,Manningham
4/8 Old Warrandyte Rd,Donvale,Manningham
6 Aria Ct,Doreen,Whittlesea
21 Kelway Cr,Eltham North,Nillumbik
1/4 Southey Ct,Elwood,Port Phillip
9 Bishop Pl,Epping,Whittlesea
4 Longwood Dr,Epping,Whittlesea
3/1 Cameron Rd,Essendon,Moonee Valley
24 Fletcher St,Essendon,Moonee Valley
104 Hoffmans Rd,Essendon,Moonee Valley
126 Market St,Essendon,Moonee Valley
89a Kerferd St,Essendon North,Moonee Valley
103 Arthur St,Fairfield,Darebin
5A Edward St,Fawkner,Moreland
2 Kya Cl,Ferntree Gully,Knox
130 Gore St,Fitzroy,Yarra
98 Canterbury St,Flemington,Moonee Valley
43 Waltham St,Flemington,Moonee Valley
20 Hocking St,Footscray,Maribyrnong
11 Heathcote Dr,Forest Hill,Whitehorse
4 Eton Ct,Frankston,Frankston
30 Petrie St,Frankston,Frankston
3 Diosma Ct,Frankston South,Frankston
30 Grange Rd,Frankston South,Frankston
7 Dalton Pl,Gladstone Park,Hume
3 Dava Ct,Gladstone Park,Hume
22 Koonalda Rd,Gladstone Park,Hume
14 Snaefell Cr,Gladstone Park,Hume
25A Beryl St,Glen Iris,Boroondara
24 Howard St,Glen Iris,Boroondara
1C Kardinia Rd,Glen Iris,Boroondara
17 Nerissa St,Glen Iris,Boroondara
42 Queens Pde,Glen Iris,Boroondara
15 Seaton St,Glen Iris,Boroondara
3/2 Victor Rd,Glen Iris,Boroondara
76 Callaghan Av,Glen Waverley,Monash
19 Diamond Av,Glen Waverley,Monash
19 Anselm Gr,Glenroy,Moreland
19 Cromwell St,Glenroy,Moreland
129 Glenroy Rd,Glenroy,Moreland
49 Hubert Av,Glenroy,Moreland
133 Morell St,Glenroy,Moreland
4/74 Rutherglen Cr,Gowanbrae,Moreland
34 Warralong Av,Greensborough,Banyule
35 Hermitage Dr,Greenvale,Hume
11 Bridge St,Hampton,Bayside
32 Retreat Rd,Hampton,Bayside
20 Teddington Rd,Hampton,Bayside
48 Turner Rd,Highett,Kingston
2 Jasmine Cl,Hoppers Crossing,Wyndham
30 Strang St,Hoppers Crossing,Wyndham
3 Worcester St,Huntingdale,Monash
2 Stewart Cl,Kealba,Brimbank
49 Roberts St,Keilor East,Moonee Valley
8 Bradford Av,Kew,Boroondara
57 Derby St,Kew,Boroondara
9 Tanner Av,Kew East,Boroondara
20 Dunbar Ct,Lalor,Whittlesea
123 Gillwell Rd,Lalor,Whittlesea
1 Nebel St,Lalor,Whittlesea
2/9 Havelock St,Maidstone,Maribyrnong
3 Carmelo Av,Malvern East,Stonnington
6 Adori Pl,Maribyrnong,Maribyrnong
31 Buchan St,Meadow Heights,Hume
9 Hibiscus Cl,Meadow Heights,Hume
1 Carina Dr,Melton,Melton
20 Perry Cl,Melton,Melton
30 Borrowdale Rd,Melton West,Melton
14 Glengala Ct,Mentone,Kingston
9 Glengala Ct,Mentone,Kingston
108 Oak Av,Mentone,Kingston
86 Waverley St,Moonee Ponds,Moonee Valley
38 Wilson St,Moonee Ponds,Moonee Valley
2 Marrbridge Rd,Moorabbin,Kingston
13 Montgomery St,Mordialloc,Kingston
12 Beverley Gr,Mount Waverley,Monash
3 Doull Ct,Mulgrave,Monash
63 Haverbrack Dr,Mulgrave,Monash
11 Collingwood Rd,Newport,Hobsons Bay
88 Maddox Rd,Newport,Hobsons Bay
40 Hotham Rd,Niddrie,Moonee Valley
60 Muriel St,Niddrie,Moonee Valley
36 Shaw St,Niddrie,Moonee Valley
181 Abbotsford St,North Melbourne,Melbourne
31 Cobden St,North Melbourne,Melbourne
60 Shiel St,North Melbourne,Melbourne
28 Plant St,Northcote,Darebin
3 Ford Av,Oakleigh,Monash
10 Talbot Av,Oakleigh South,Monash
26 Thompson St,Ormond,Glen Eira
2 Kershaw St,Parkdale,Kingston
8/410 Nepean Hwy,Parkdale,Kingston
3/43 Danin St,Pascoe Vale,Moreland
5/14 Devon Rd,Pascoe Vale,Moreland
52 Prospect St,Pascoe Vale,Moreland
33 Snell Gr,Pascoe Vale,Moreland
114 Fongeo Dr,Point Cook,Wyndham
711/101 Bay St,Port Melbourne,Port Phillip
333 Princes St,Port Melbourne,Port Phillip
297 Ross St,Port Melbourne,Port Phillip
13 Bowen St,Prahran,Stonnington
11 Asquith St,Reservoir,Darebin
1 Cameron St,Reservoir,Darebin
39 Crevelli St,Reservoir,Darebin
98 Crookston Rd,Reservoir,Darebin
21 Hughes Pde,Reservoir,Darebin
79 North Rd,Reservoir,Darebin
165 Spring St,Reservoir,Darebin
168 Mary St,Richmond,Yarra
5 Maidstone St,Ringwood,Maroondah
16 Sandover Dr,Roxburgh Park,Hume
23 Wheatley Av,Roxburgh Park,Hume
303 Park St,South Melbourne,Port Phillip
2/66 Walsh St,South Yarra,Melbourne
15 Maple St,Springvale,Greater Dandenong
25C MacKay St,Springvale South,Greater Dandenong
8 Ipswich St,St Albans,Brimbank
187 Mascoma St,Strathmore,Moonee Valley
20 Brett Ct,Sunbury,Hume
43 Lister Cr,Sunbury,Hume
35 Oxley St,Sunbury,Hume
25 Vaughan St,Sunbury,Hume
42 Cary St,Sunshine North,Brimbank
93 Cumberland St,Sunshine North,Brimbank
10 Mayne St,Sunshine West,Brimbank
6 Pukaki Ct,Taylors Lakes,Brimbank
316 Rossmoyne St,Thornbury,Darebin
19/337 Station St,Thornbury,Darebin
231 Melrose Dr,Tullamarine,Hume
21 Webb St,Warrandyte,Manningham
4 Albany Ct,Werribee,Wyndham
52 Parramatta Rd,Werribee,Wyndham
7 Thompson Ct,Werribee,Wyndham
37 Park Av,West Footscray,Maribyrnong
34 Miller St,West Melbourne,Melbourne
16 Belinda Cr,Wheelers Hill,Monash
3 Cotoneaster Ct,Wheelers Hill,Monash
17 Highwood Dr,Wheelers Hill,Monash
6 The Woodland,Wheelers Hill,Monash
48 Smith Av,Williamstown,Hobsons Bay
20 Atkinson Cl,Windsor,Stonnington
54 Sussex St,Yarraville,Maribyrnong
1A Aberfeldie St,Aberfeldie,Moonee Valley
34 Green St,Airport West,Moonee Valley
78 Hawker St,Airport West,Moonee Valley
1/2 Dubbo St,Albion,Brimbank
77A Fulham Rd,Alphington,Darebin
7/35 Grieve Pde,Altona,Hobsons Bay
18 Ascot St,Ascot Vale,Moonee Valley
1/37 Ascot Vale Rd,Ascot Vale,Moonee Valley
21 Ambon St,Ashburton,Boroondara
58 Station St,Aspendale,Kingston
13 Bianca Dr,Aspendale Gardens,Kingston
2 Herod Pl,Attwood,Hume
7 Relowe Cr,Balwyn,Boroondara
286 Balwyn Rd,Balwyn North,Boroondara
2 Lynne Ct,Balwyn North,Boroondara
8 Kite Av,Bayswater North,Maroondah
4 High St,Beaumaris,Bayside
7 McNamara St,Beaumaris,Bayside
17 Ardwick St,Bentleigh,Glen Eira
192 Tucker Rd,Bentleigh,Glen Eira
1 Hornby St,Black Rock,Bayside
18 Iluka St,Black Rock,Bayside
2 Goodwin St,Blackburn,Whitehorse
51 Joseph St,Blackburn North,Whitehorse
9 Middleton St,Braybrook,Maribyrnong
29 Dunn St,Broadmeadows,Hume
55 Stanhope St,Broadmeadows,Hume
378 Albion St,Brunswick West,Moreland
47 Everett St,Brunswick West,Moreland
13 Zeal St,Brunswick West,Moreland
41 Estelle St,Bulleen,Manningham
36 Ormond Bvd,Bundoora,Whittlesea
15 Wattlebird Ct,Burwood,Whitehorse
17 McGregor St,Canterbury,Boroondara
87 Palmerston St,Carlton,Melbourne
81 Princes St,Carlton,Melbourne
782 Lygon St,Carlton North,Yarra
125 Newry St,Carlton North,Yarra
2 Barclay Dr,Cheltenham,Kingston
12 Bond St,Clayton South,Kingston
15 Byron St,Clayton South,Kingston
695 Heatherton Rd,Clayton South,Kingston
8 Narrumburn Rd,Clayton South,Kingston
21 Gordon St,Clifton Hill,Yarra
41 Glengyle St,Coburg,Moreland
26/125 Oxford St,Collingwood,Yarra
11 Abercarn Av,Craigieburn,Hume
22 Cubitt St,Cremorne,Yarra
37 Lee St,Deer Park,Brimbank
7 Bateman Cl,Derrimut,Brimbank
2 Bishop Av,Diamond Creek,Nillumbik
1A Shelford Gr,Dingley Village,Kingston
6 Margot Av,Doncaster,Manningham
4 Tudor Rd,Doncaster,Manningham
41 Highfield Rd,Doncaster East,Manningham
10 Leura St,Doncaster East,Manningham
2 Raven St,Doncaster East,Manningham
345 Serpells Rd,Doncaster East,Manningham
1a Chippewa Av,Donvale,Manningham
8 Bower Wy,Doreen,Whittlesea
15 Marian Ct,Eltham North,Nillumbik
9 Mason Av,Elwood,Port Phillip
23 Moore St,Elwood,Port Phillip
7/12 Kirkland Ct,Epping,Whittlesea
11 Northumberland Dr,Epping,Whittlesea
10/81 Rufus St,Epping,Whittlesea
24 Greenaway Dr,Ferntree Gully,Knox
4 Parklands Cl,Ferntree Gully,Knox
101 Kerr St,Fitzroy,Yarra
127 Princes St,Flemington,Moonee Valley
37 Waltham St,Flemington,Moonee Valley
27 Summerhill Rd,Footscray,Maribyrnong
7 Orrong Av,Frankston,Frankston
24 Sycamore Rd,Frankston South,Frankston
15 Morilla Ct,Gisborne,Macedon Ranges
204 Panorama Dr,Gisborne,Macedon Ranges
8 Conifer Cl,Gladstone Park,Hume
7 Dudley Ct,Gladstone Park,Hume
38 Allison Av,Glen Iris,Boroondara
6 Audrey Cr,Glen Iris,Boroondara
10 Howard St,Glen Iris,Boroondara
1/16 Osborne Av,Glen Iris,Stonnington
16 Clematis St,Glen Waverley,Monash
9 Dorset St,Glen Waverley,Monash
31 Hampstead Cr,Glen Waverley,Monash
94 Herriotts Bvd,Glen Waverley,Monash
6 Melrose Ct,Glen Waverley,Monash
1 Granville St,Glenroy,Moreland
