Address,Suburb,Landsize
103 McMahon Rd,Reservoir,637 
105 Dover Rd,Williamstown,231 
1/10 Linden St,Brunswick East,88 
1/10 Manor St,Brighton,340 
1/119 Melrose Dr,Tullamarine,381 
111 Carpenter St,Brighton,869 
1/11 Hiscock St,Chadstone,249 
1/142 Derby St,Pascoe Vale,175 
114 Gladstone St,Southbank,172 
1/15 Delaware St,Reservoir,376 
1/217 Woods St,Newport,240 
1/21 Queen St,Coburg,147 
1/22 Archibald St,Pascoe Vale,235 
12/32 Argyle St,West Footscray,121 
1/25 Morell St,Glenroy,312 
12 Chaucer St,Moonee Ponds,584 
12 Hardiman St,Kensington,171 
12 John St,Flemington,172 
12 Longfield St,Richmond,318 
137 Ingles St,Port Melbourne,89 
1/3 Drysdale St,Reservoir,249 
13 Etzel St,Airport West,593 
13 Seacombe St,Fitzroy North,150 
13 The Mews,Preston,177 
1/43 Surrey St,Pascoe Vale,96 
14 Aberdeen Rd,Prahran,118 
14 Staughton St,Sunshine,186 
1/514 Bluff Rd,Hampton,188 
1/51 The Grove,Coburg,84 
1/536 Albion St,Brunswick West,77 
1/58 Moore St,Coburg,218 
1/5 Little St,Altona North,279 
15 Miles St,Bentleigh,295 
16 Nelson St,Port Melbourne,154 
17/120 Newman St,Kensington,117 
171 Bridge St,Port Melbourne,127 
171 Sterling Dr,Keilor East,533 
17/6 Rosamond Rd,Footscray,64 
1/7 Derry St,Aberfeldie,254 
17 Longmuir Rd,Watsonia,600 
17 New St,Brighton,346 
187 Gilbert Rd,Preston,44 
189 Rathmines St,Fairfield,626 
1/96 Cooper St,Essendon,316 
1 Carcoola Ct,Ormond,582 
1 Rotorua St,Caulfield South,488 
1 Stanlake St,Footscray,737 
20 Grandview Rd,Niddrie,651 
2/105 Raleigh Rd,Maribyrnong,140 
2/126 Middle St,Hadfield,123 
2/12 Jones St,Brunswick,82 
213 Stokes St,Port Melbourne,187 
2/15 Scott Gr,Glen Iris,153 
216a Ballarat Rd,Footscray,144 
2/175 Blyth St,Brunswick East,86 
217 Stewart St,Brunswick East,96 
21A Kent St,Richmond,77 
21A Scotia St,Moonee Ponds,304 
21 Winchester St,Moonee Ponds,207 
2/203 North Rd,Caulfield South,387 
2/29 Maddox Rd,Newport,224 
22 Ellesmere St,Northcote,175 
2/310 Burnley St,Richmond,76 
2/33 Oconnor St,Reservoir,124 
2/36 Curie Av,Oak Park,108 
2/36 Prospect St,Glenroy,213 
2/3 Inglisby Rd,Mont Albert,100 
23 MacKay St,Essendon,318 
24a Franklin St,Moorabbin,225 
24b Munro St,Brighton,346 
24 Valley St,Oakleigh South,208 
2/557 Canterbury Rd,Vermont,422 
25 Argyle St,Moonee Ponds,215 
25 Wales St,Brunswick West,555 
2/68 Naples Rd,Mentone,246 
26 Gardiner Pde,Glen Iris,780 
2/78 Ormond Rd,Ascot Vale,218 
283 Tyler St,Preston,271 
28 Roydon St,Hampton East,337 
291 George St,Fitzroy,122 
29 Marsh St,Maidstone,617 
29 Sevenoaks St,Balwyn,531 
2A Bolingbroke St,Pascoe Vale,113 
2b Rollo St,Coburg North,121 
2 Marquis Rd,Bentleigh,468 
2 Mirrim Pl,Gowanbrae,629 
2 Normanby St,Brighton,320 
2 Rindlebrook Pl,Wonga Park,575 
30 Kinsale St,Reservoir,631 
30 Studley Rd,Brighton East,654 
30 Winbrook Ct,Doncaster,489 
3/100 Tooronga Rd,Malvern East,119 
3/105 Raleigh Rd,Maribyrnong,139 
3/1073 Centre Rd,Oakleigh South,206 
31 Turner St,Abbotsford,169 
3/27 Stephen St,Yarraville,78 
3/28 Kendall St,Coburg,137 
32 Diamond St,Niddrie,354 
3/34 Faversham Rd,Canterbury,298 
33 George St,Preston,414 
33 Rourke La,Kensington,81 
33 Spencer St,Northcote,512 
34 Quinn St,Heidelberg,830 
3/51 Brunswick Rd,Brunswick East,174 
355 Napier St,Strathmore,309 
3/59 Poath Rd,Murrumbeena,158 
38 Alfred St,Seddon,242 
38 Edinburgh St,Bentleigh East,589 
3/8 Eldon Ct,Hampton East,214 
3/8 Eleanor St,Footscray,82 
3/8 Green St,Ivanhoe,182 
3/9 Mountain View Pde,Rosanna,259 
3a Fraser St,Ormond,234 
3 Longfield St,Richmond,641 
41 Kensington Rd,Kensington,104 
4/26 Redfern Rd,Hawthorn East,103 
42 Cressy St,Malvern,170 
